profile_id,from,to,density,note,date
0,0,26,0.240,"By stake M1",1992-04-16
0,26,52,0.325,"By stake M1",1992-04-16
0,52,76,0.403,"By stake M1",1992-04-16
0,76,106,0.468,"By stake M1",1992-04-16
0,106,137,0.490,"By stake M1",1992-04-16
0,137,155,0.453,"By stake M1",1992-04-16
0,155,182,0.522,"By stake M1",1992-04-16
0,182,209,0.514,"By stake M1",1992-04-16
0,209,239,0.500,"By stake M1",1992-04-16
0,239,270,0.490,"By stake M1",1992-04-16
0,270,293,0.520,"By stake M1",1992-04-16
0,293,318,0.476,"By stake M1",1992-04-16
0,318,335,0.475,"By stake M1. Lower bound is summer surface.",1992-04-16
0,335,361,0.552,"By stake M1.",1992-04-16
0,361,390,0.585,"By stake M1.",1992-04-16
