profile_id,from,to,density,note,date
0,0,25,0.350,"By stake A-94",1994-05-05
0,30,55,0.360,"By stake A-94",1994-05-05
0,55,80,0.460,"By stake A-94",1994-05-05
0,81,106,0.435,"By stake A-94",1994-05-05
0,108,135,0.440,"By stake A-94",1994-05-05
0,135,160,0.410,"By stake A-94",1994-05-05
0,160,182,0.380,"By stake A-94",1994-05-05
1,0,25,0.375,"By stake D-94",1994-05-05
1,27,52,0.475,"By stake D-94",1994-05-05
1,53,78,0.475,"By stake D-94",1994-05-05
1,78,103,0.380,"By stake D-94",1994-05-05
1,105,130,0.435,"By stake D-94",1994-05-05
1,130,155,0.425,"By stake D-94",1994-05-05
1,155,170,0.392,"By stake D-94",1994-05-05
