profile_id,from,to,density,note,date
0,0,25,0.330,,1990-05-29
0,25,50,0.440,,1990-05-29
0,50,71,0.499,,1990-05-29
0,71,89,0.525,,1990-05-29
0,89,102.5,0.485,,1990-05-29
0,102.5,130,0.461,,1990-05-29
0,130,139.5,0.476,,1990-05-29
0,139.5,165.5,0.500,,1990-05-29
0,165.5,171.5,0.488,,1990-05-29
0,171.5,196.5,0.606,,1990-05-29
0,196.5,210.5,0.506,,1990-05-29
0,210.5,230.5,0.515,,1990-05-29
0,230.5,261,0.701,,1990-05-29
0,261,281,0.548,,1990-05-29
0,281,306.5,0.542,,1990-05-29
0,306.5,335,0.445,,1990-05-29
