profile_id,from,to,density,note,date
0,0,25,0.230,"By stake A-96",1996-04-06
0,25,50,0.325,"By stake A-96",1996-04-06
0,50,75,0.380,"By stake A-96",1996-04-06
0,75,90,0.420,"By stake A-96",1996-04-06
0,90,166,0.437,"By stake A-96",1996-04-06
0,166,199,0.487,"By stake A-96",1996-04-06
0,199,229,0.506,"By stake A-96",1996-04-06
0,229,293,0.538,"By stake A-96",1996-04-06
0,293,312.5,0.569,"By stake A-96",1996-04-06
0,312.5,369,0.539,"By stake A-96",1996-04-06
0,369,411,0.542,"By stake A-96",1996-04-06
0,411,441,0.558,"By stake A-96",1996-04-06
0,441,451,0.558,"By stake A-96",1996-04-06
0,451,479,0.558,"By stake A-96",1996-04-06
0,479,500,0.511,"By stake A-96. Summer surface at 500 cm.",1996-04-06
0,500,532,0.570,"By stake A-96",1996-04-06
